172.64.82.114#【电信 Nodes】6.92mb/s
198.41.194.162#【电信 Nodes】5.43mb/s
198.41.208.15#【电信 Nodes】4.71mb/s
162.159.140.85#【电信 Nodes】4.48mb/s
172.64.52.127#【电信 Nodes】4.14mb/s
162.159.61.183#【电信 Nodes】4.09mb/s
172.64.91.69#【电信 Nodes】3.24mb/s
172.64.48.226#【电信 Nodes】2.25mb/s
162.159.24.131#【电信 Nodes】2.04mb/s
173.245.49.194#【电信 Nodes】0.53mb/s
104.26.4.90#【联通 Nodes】10.27mb/s
162.159.136.89#【联通 Nodes】9.80mb/s
162.159.58.65#【联通 Nodes】9.28mb/s
172.64.229.7#【联通 Nodes】8.79mb/s
104.26.5.134#【联通 Nodes】8.24mb/s
162.159.137.204#【联通 Nodes】8.08mb/s
162.159.128.253#【联通 Nodes】8.00mb/s
104.26.3.162#【联通 Nodes】7.87mb/s
104.26.8.117#【联通 Nodes】7.49mb/s
162.159.140.116#【联通 Nodes】6.68mb/s
104.18.81.19#【移动 Nodes】12.98mb/s
104.18.89.52#【移动 Nodes】12.75mb/s
104.18.166.129#【移动 Nodes】12.56mb/s
198.41.208.224#【移动 Nodes】11.33mb/s
104.19.148.121#【移动 Nodes】10.83mb/s
104.17.162.3#【移动 Nodes】10.74mb/s
104.18.151.172#【移动 Nodes】9.88mb/s
104.17.139.37#【移动 Nodes】9.63mb/s
104.19.220.22#【移动 Nodes】9.62mb/s
104.19.154.200#【移动 Nodes】9.60mb/s
104.18.255.167#【多线 Nodes】21.55mb/s
104.19.212.207#【多线 Nodes】17.95mb/s
104.17.69.244#【多线 Nodes】16.76mb/s
104.31.16.158#【多线 Nodes】14.40mb/s
104.17.167.134#【多线 Nodes】14.04mb/s
104.18.223.253#【多线 Nodes】13.24mb/s
104.16.105.166#【多线 Nodes】10.34mb/s
104.17.142.212#【多线 Nodes】8.67mb/s
104.18.189.153#【多线 Nodes】0.14mb/s
104.16.65.1#【多线 Nodes】0.14mb/s
